system,group,trial,run,cost,conv_time_s,conv_step,avg_solve_ms,viol_pct,viol_count,mean_excess_ms,max_excess_ms,failures,theta_tol_deg,sim_steps
sys2,Equation (baseline),1,run_20260619_141719,187.888,0.3,15.0,8.4,0.0,0,0.0,0.0,0,10.0,100
sys2,Equation (baseline),2,run_20260619_141734,187.436,0.3,15.0,7.9,0.0,0,0.0,0.0,0,10.0,100
sys2,Equation (baseline),3,run_20260619_141744,183.707,0.3,15.0,8.1,0.0,0,0.0,0.0,0,10.0,100
sys2,Equation (baseline),4,run_20260619_141757,183.309,0.3,15.0,8.0,0.0,0,0.0,0.0,0,10.0,100
sys2,Equation (baseline),5,run_20260619_141811,186.603,0.3,15.0,7.9,0.0,0,0.0,0.0,0,10.0,100
sys2,CNP ctx=1,1,run_20260619_142014,193.06,0.28,14.0,13.9,0.0,0,0.0,0.0,0,10.0,100
sys2,CNP ctx=1,2,run_20260619_142034,294.701,0.26,13.0,13.3,0.0,0,0.0,0.0,0,10.0,100
sys2,CNP ctx=1,3,run_20260619_142054,192.091,0.38,19.0,14.0,0.0,0,0.0,0.0,0,10.0,100
sys2,CNP ctx=1,4,run_20260619_142109,411.066,0.26,13.0,13.8,0.0,0,0.0,0.0,0,10.0,100
sys2,CNP ctx=1,5,run_20260619_142125,316.252,0.26,13.0,13.4,1.0,1,0.56,0.56,0,10.0,100
sys2,CNP ctx=20,1,run_20260619_142237,247.265,0.4,20.0,13.7,1.0,1,6.6,6.6,0,10.0,100
sys2,CNP ctx=20,2,run_20260619_142252,258.807,0.34,17.0,13.9,0.0,0,0.0,0.0,0,10.0,100
sys2,CNP ctx=20,3,run_20260619_142309,267.459,0.42,21.0,13.8,0.0,0,0.0,0.0,0,10.0,100
sys2,CNP ctx=20,4,run_20260619_142326,273.441,0.42,21.0,13.8,1.0,1,3.21,3.21,0,10.0,100
sys2,CNP ctx=50,1,run_20260619_142439,216.699,0.28,14.0,13.4,0.0,0,0.0,0.0,0,10.0,100
sys2,CNP ctx=50,2,run_20260619_142453,202.475,0.28,14.0,13.4,0.0,0,0.0,0.0,0,10.0,100
sys2,CNP ctx=50,3,run_20260619_142510,187.495,0.28,14.0,13.2,0.0,0,0.0,0.0,0,10.0,100
sys2,CNP ctx=50,4,run_20260619_142528,183.63,0.26,13.0,12.9,0.0,0,0.0,0.0,0,10.0,100
sys2,CNP ctx=50,5,run_20260619_142547,188.248,0.28,14.0,13.9,0.0,0,0.0,0.0,0,10.0,100
sys2,CNP ctx=20,5,run_20260619_142656,258.815,0.4,20.0,14.1,4.0,4,3.16,4.89,0,10.0,100
sys2,CNP ctx=100,1,run_20260619_142750,179.67,0.28,14.0,13.2,0.0,0,0.0,0.0,0,10.0,100
sys2,CNP ctx=100,2,run_20260619_142810,181.014,0.28,14.0,13.2,0.0,0,0.0,0.0,0,10.0,100
sys2,CNP ctx=100,3,run_20260619_142831,185.972,0.28,14.0,13.4,0.0,0,0.0,0.0,0,10.0,100
sys2,CNP ctx=100,4,run_20260619_142849,182.643,0.28,14.0,12.8,0.0,0,0.0,0.0,0,10.0,100
sys2,CNP ctx=100,5,run_20260619_142909,187.117,0.28,14.0,13.3,0.0,0,0.0,0.0,0,10.0,100
sys1,Equation (baseline),1,run_20260619_143123,194.024,0.24,12.0,8.5,0.0,0,0.0,0.0,0,10.0,100
sys1,Equation (baseline),2,run_20260619_143132,187.441,0.26,13.0,8.3,0.0,0,0.0,0.0,0,10.0,100
