system,group,n,cost_mean,cost_std,conv_rate,conv_time_mean,conv_time_std,solve_mean,viol_mean
sys1,CNP ctx=1,5,257.601,61.981,5/5,0.336,0.159,13.88,0.6
sys1,CNP ctx=100,5,172.575,2.471,5/5,0.26,0.0,13.26,0.0
sys1,CNP ctx=20,5,189.936,6.661,5/5,0.288,0.063,13.46,0.0
sys1,CNP ctx=50,5,182.477,1.585,5/5,0.26,0.0,13.38,0.0
sys1,Equation (baseline),5,191.312,2.903,5/5,0.252,0.011,8.48,0.0
sys2,CNP ctx=1,5,281.434,92.175,5/5,0.288,0.052,13.68,0.2
sys2,CNP ctx=100,5,183.283,3.184,5/5,0.28,0.0,13.18,0.0
sys2,CNP ctx=20,5,261.157,9.932,5/5,0.396,0.033,13.86,1.2
sys2,CNP ctx=50,5,195.709,13.742,5/5,0.276,0.009,13.36,0.0
sys2,Equation (baseline),5,185.789,2.137,5/5,0.3,0.0,8.06,0.0
sys3,CNP ctx=1,5,597.615,182.525,5/5,1.152,0.321,15.22,3.8
sys3,CNP ctx=100,5,188.615,5.278,5/5,0.248,0.011,12.94,0.0
sys3,CNP ctx=20,5,331.604,14.625,5/5,0.74,0.0,14.2,1.0
sys3,CNP ctx=50,5,290.12,28.117,5/5,0.452,0.011,13.58,1.2
sys3,Equation (baseline),5,182.131,0.901,5/5,0.488,0.011,7.86,0.0
